gap,spec_group,claim_type,claim_count
76,j,v1,12806
76,j,v3,235
76,k,v6,8791
76,k,v1,4138
76,k,v9,11529
76,k,v4,3135
76,k,v3,14729
76,k,v7,10851
76,k,v5,6701
77,a,v5,5498
77,a,v4,5385
77,a,v1,4623
77,a,v3,2940
77,a,v6,8060
77,b,v6,5026
77,b,v3,6361
77,b,v5,12727
77,b,v4,9989
77,c,v5,13446
77,c,v2,14348
77,c,v6,2874
77,c,v1,1967
77,c,v4,14660
77,c,v3,2370
77,d,v6,1656
77,d,v4,10542
77,d,v3,10201
77,d,v1,11128
77,d,v5,5272
77,e,v3,11304
77,e,v4,7356
77,e,v5,3502
77,e,v6,4449
77,e,v1,341
77,f,v6,8745
77,f,v5,5114
77,f,v4,6669
77,g,v6,6971
77,g,v5,14861
77,g,v4,1753
77,g,v1,8106
77,h,v1,7827
77,h,v7,6122
77,h,v3,4669
77,h,v4,13103
77,h,v5,12022
77,i,v4,6564
77,i,v5,11910
77,i,v1,13410
77,i,v6,12736
77,i,v7,10962
77,j,v3,8600
77,j,v1,9727
77,j,v4,13812
77,j,v5,7312
77,j,v6,9447
77,j,v2,14396
77,k,v5,231
77,k,v1,4527
77,k,v3,1271
77,k,v4,8301
77,k,v6,13872
78,a,v5,9765
78,a,v3,3774
78,a,v6,13149
78,a,v1,10561
78,a,v4,9523
78,b,v5,3337
78,b,v3,11059
78,b,v6,3830
78,b,v1,5797
78,b,v4,9282
78,c,v1,14843
78,c,v5,12688
78,c,v2,5871
78,c,v3,6415
78,c,v4,6616
78,c,v6,3018
78,d,v4,1286
78,d,v1,5064
78,d,v3,7559
78,d,v5,14658
78,e,v1,11751
78,e,v5,681
78,e,v6,5398
78,e,v3,10920
78,e,v4,3589
78,f,v5,5914
78,f,v4,7383
78,f,v6,4048
78,g,v3,3253
78,g,v4,10252
78,g,v5,11021
78,h,v1,11635
78,h,v3,6147
78,h,v4,10523
78,h,v5,7193
78,h,v6,756
78,i,v4,8934
78,i,v3,3141
78,i,v6,11482
78,i,v5,5511
78,i,v1,2754
78,j,v1,10647
78,j,v3,4596
78,j,v2,7500
78,j,v5,10868
78,j,v4,13876
78,j,v6,9733
78,k,v9,5143
78,k,v4,115
78,k,v6,3115
78,k,v1,6592
78,k,v3,5199
78,k,v5,3777
79,a,v5,14054
79,a,v4,9052
79,a,v3,2641
79,a,v6,3814
79,a,v1,6252
79,b,v4,3785
79,b,v1,4500
79,b,v6,4017
79,b,v3,12809
79,b,v5,307
79,c,v4,1971
79,c,v5,7765
79,c,v3,11924
79,c,v6,3409
79,c,v2,11690
79,c,v1,10613
79,d,v1,4325
79,d,v4,6720
79,d,v3,12724
79,d,v5,7565
79,d,v6,3291
79,e,v1,5558
79,e,v5,10292
79,e,v6,2904
79,e,v4,12785
79,f,v4,11466
79,f,v6,11271
79,f,v5,10158
79,g,v4,3517
79,g,v3,4192
79,h,v4,489
79,h,v5,7308
79,h,v1,14651
79,h,v3,6559
79,i,v6,6306
79,i,v4,1416
79,i,v5,315
79,i,v1,3331
79,j,v2,5669
79,j,v3,404
79,j,v1,11746
79,j,v5,8219
79,j,v4,5619
79,j,v6,7453
79,k,v3,9906
79,k,v6,2739
79,k,v7,11274
79,k,v4,2463
79,k,v1,10916
79,k,v5,6479
80,a,v3,324
80,a,v4,11362
80,a,v6,1834
80,a,v1,14214
80,a,v5,11425
80,b,v6,5675
80,b,v4,7360
80,b,v5,7613
80,b,v3,1618
80,c,v6,9659
80,c,v3,2354
80,c,v2,2430
80,c,v5,13114
80,c,v4,9672
80,c,v1,6371
80,d,v1,7774
80,d,v6,11093
80,d,v3,8539
80,d,v4,11154
80,e,v3,14645
80,e,v1,3916
80,e,v5,2819
80,e,v4,7538
80,e,v6,12500
80,f,v5,323
80,f,v4,7534
80,g,v4,13193
80,g,v6,2701
80,g,v5,2556
80,h,v6,10724
80,h,v3,8176
80,h,v4,10302
80,h,v5,2322
80,h,v1,5783
80,i,v7,14769
80,i,v3,5975
80,i,v1,5510
80,i,v6,14680
80,i,v5,14851
80,i,v4,12887
80,j,v6,4539
80,j,v1,13421
80,j,v2,9862
80,j,v4,9882
80,j,v3,14554
80,j,v5,7737
80,k,v1,11866
80,k,v6,11975
80,k,v4,7540
80,k,v5,2884
80,k,v3,485
80,k,v9,2678
81,a,v5,1004
81,a,v6,12683
81,a,v4,11985
81,a,v3,11523
81,a,v1,1805
81,b,v4,7759
81,b,v5,2472
81,b,v1,14551
81,b,v3,9454
81,b,v6,8725
81,c,v4,897
81,c,v1,5776
81,c,v6,2116
81,c,v3,10216
81,c,v2,212
81,c,v5,13705
81,c,v8,8310
81,d,v1,3664
81,d,v4,6611
81,d,v3,14268
81,d,v6,2466
81,d,v5,14689
81,e,v3,3770
81,e,v5,7392
81,e,v6,14245
81,e,v4,4462
81,f,v4,13049
81,f,v6,10762
81,f,v5,4169
81,g,v5,6798
81,g,v4,4459
81,g,v6,2901
81,h,v6,6128
81,h,v4,7254
81,h,v3,11652
81,h,v5,3037
81,i,v1,5952
81,i,v4,13103
81,i,v3,6920
81,i,v5,8933
81,i,v6,242
81,j,v4,963
81,j,v2,1899
81,j,v1,7784
81,j,v6,14157
81,j,v5,10026
81,k,v3,13145
81,k,v6,9175
81,k,v5,13379
81,k,v4,1252
81,k,v1,5785
82,a,v1,3000
82,a,v5,3363
82,a,v3,9984
82,a,v6,9267
82,a,v4,3114
82,b,v6,3093
82,b,v3,14540
82,b,v4,12066
82,b,v5,3910
82,b,v1,12620
82,c,v1,731
82,c,v5,3608
82,c,v3,6143
82,c,v4,10348
82,c,v6,13852
82,d,v6,1184
82,d,v3,11431
82,d,v4,9049
82,d,v5,5700
82,d,v1,6102
82,e,v1,14937
82,e,v6,10383
82,e,v5,12636
82,e,v4,7361
82,f,v4,9015
82,f,v6,2896
82,g,v3,8153
82,g,v5,5605
82,g,v4,6388
82,h,v3,8505
82,h,v5,2003
82,h,v6,4803
82,h,v7,7498
82,h,v4,8804
82,h,v1,216
82,i,v1,11369
82,i,v4,4092
82,i,v5,10514
82,i,v6,6176
82,j,v1,2655
82,j,v6,3667
82,j,v2,13352
82,j,v5,11964
82,j,v4,13724
82,k,v1,707
82,k,v9,10277
82,k,v6,5221
82,k,v4,12122
82,k,v3,14894
82,k,v5,11069
82,k,v7,10340
83,a,v1,1291
83,a,v5,11660
83,a,v6,6351
83,a,v3,3506
83,a,v4,6302
83,b,v5,12031
83,b,v3,7290
83,b,v4,13996
83,b,v6,12876
83,c,v5,325
83,c,v2,8674
83,c,v6,1949
83,c,v4,5760
83,c,v3,8987
83,c,v1,1504
83,d,v4,641
83,d,v6,12902
83,d,v3,6606
83,d,v1,2224
83,d,v5,14091
83,e,v5,1364
83,e,v1,11725
83,e,v4,7287
83,e,v6,3087
83,e,v3,7618
83,f,v4,3227
83,f,v5,6878
83,f,v6,7229
83,g,v3,1251
83,g,v4,3695
83,h,v4,8782
83,h,v5,4000
83,h,v6,6783
83,h,v3,10704
83,h,v1,6966
83,h,v7,10583
83,i,v4,8272
83,i,v1,6021
83,i,v6,13502
83,i,v5,10927
83,j,v2,1702
83,j,v3,8798
83,j,v1,14520
83,j,v6,7241
83,j,v4,11103
83,j,v5,10709
83,k,v1,3355
83,k,v5,10138
83,k,v3,5771
83,k,v6,11018
83,k,v4,12323
84,a,v1,6746
84,a,v3,9852
84,a,v6,3975
84,a,v4,2688
84,a,v5,13849
84,b,v6,724
84,b,v3,606
84,b,v1,9216
84,b,v5,7198
84,b,v4,10629
84,c,v1,12122
84,c,v3,7485
84,c,v4,9470
84,c,v5,262
84,c,v2,12870
84,c,v6,3851
84,d,v5,4999
84,d,v6,9378
84,d,v4,10026
84,d,v3,12914
84,e,v6,955
84,e,v5,479
84,e,v1,2102
84,e,v4,7714
84,e,v3,14552
84,f,v4,5052
84,f,v6,4655
84,f,v3,4697
84,f,v5,1618
84,g,v5,10275
84,g,v4,6004
84,g,v3,8617
84,g,v6,2290
84,h,v3,3411
84,h,v4,11923
84,h,v6,4299
84,h,v5,9596
84,h,v7,1172
84,h,v1,12898
84,i,v4,9897
84,i,v1,11683
84,i,v5,8127
84,j,v5,14991
84,j,v6,8526
84,j,v4,10312
84,j,v2,3897
84,j,v1,10909
84,j,v3,9930
84,k,v4,4262
84,k,v3,8186
84,k,v5,13637
84,k,v1,6171
84,k,v6,1610
85,a,v6,10265
85,a,v1,9569
85,a,v4,2941
85,a,v5,485
85,a,v3,5698
85,b,v3,6451
85,b,v1,7426
85,b,v4,1213
85,b,v5,4626
85,b,v6,10680
85,c,v2,5639
85,c,v6,1918
85,c,v4,7370
85,c,v1,10004
85,c,v3,12216
85,c,v5,10739
85,d,v5,35
85,d,v4,6996
85,d,v3,5509
85,d,v6,11874
85,e,v1,9283
85,e,v6,875
85,e,v4,2153
85,e,v5,6647
85,e,v3,8454
85,f,v6,2182
85,f,v5,12651
85,f,v4,1404
85,g,v4,12227
85,g,v6,4220
85,g,v5,8478
85,g,v3,3818
85,h,v6,3158
85,h,v1,8295
85,h,v4,14782
85,h,v3,13646
85,h,v5,11078
85,i,v4,5327
85,i,v3,7457
85,i,v6,14469
85,i,v5,2872
85,i,v1,3112
85,j,v3,14476
85,j,v4,1627
85,j,v5,2251
85,j,v1,7241
85,j,v2,771
85,j,v6,515
85,k,v3,4811
85,k,v5,310
85,k,v6,14446
85,k,v1,12922
85,k,v4,4131
86,a,v1,7592
86,a,v5,949
86,a,v3,4016
86,a,v4,2597
86,a,v6,11603
86,b,v3,12621
86,b,v5,58
86,b,v4,6176
86,b,v6,13433
86,b,v1,6047
86,c,v1,1236
86,c,v5,14714
86,c,v6,1174
86,c,v4,12605
86,c,v2,7708
86,c,v3,13292
86,d,v3,2755
86,d,v4,6905
86,d,v6,2210
86,d,v5,12033
86,e,v4,7348
86,e,v3,2369
86,e,v5,3859
86,e,v6,10509
86,e,v1,6213
86,f,v8,8490
86,f,v6,11524
86,f,v4,3679
86,f,v5,2553
86,g,v3,13062
86,g,v6,5200
86,g,v5,2083
86,g,v4,6429
86,h,v5,1049
86,h,v1,9435
86,h,v3,12005
86,h,v4,13750
86,i,v6,6005
86,i,v4,7853
86,i,v3,10348
86,i,v1,7229
86,i,v5,9505
86,j,v3,4125
86,j,v4,11448
86,j,v1,14953
86,j,v6,709
86,j,v5,149
86,j,v2,48
86,k,v6,13978
86,k,v1,6076
86,k,v7,5057
86,k,v4,6430
86,k,v3,5451
86,k,v5,979
87,a,v4,6013
87,a,v1,13296
87,a,v5,13631
87,a,v6,13520
87,a,v3,3786
87,b,v4,9186
87,b,v1,13384
87,b,v3,12145
87,b,v5,5005
87,b,v6,4123
87,c,v1,5954
87,c,v6,5236
87,c,v5,7057
87,c,v3,2696
87,c,v2,13352
87,c,v4,13574
87,d,v4,5364
87,d,v5,4664
87,d,v3,10836
87,e,v3,2081
87,e,v4,10341
87,e,v5,12664
87,e,v6,2884
87,f,v6,6696
87,f,v4,3583
87,g,v6,3358
87,g,v5,9621
87,g,v4,12250
87,g,v3,3855
87,h,v3,11193
87,h,v1,13750
87,h,v4,5508
87,h,v5,7866
87,i,v6,9250
87,i,v5,14660
87,i,v4,1025
87,i,v3,14809
87,i,v1,1979
87,j,v1,1621
87,j,v6,626
87,j,v2,3493
87,j,v5,2243
87,j,v4,7216
87,j,v3,14317
87,k,v1,7578
87,k,v6,6993
87,k,v4,2257
87,k,v5,13021
87,k,v3,4628
88,a,v3,5976
88,a,v4,8081
88,a,v6,5169
88,a,v5,4978
88,a,v1,13331
88,b,v5,12405
88,b,v1,9659
88,b,v3,10314
88,b,v6,12719
88,b,v4,10442
88,c,v5,5720
88,c,v6,12887
88,c,v2,5465
88,c,v4,13812
88,c,v3,9812
88,c,v1,3077
88,d,v4,2052
88,d,v3,12023
88,d,v6,4790
88,d,v5,8522
88,e,v4,1355
88,e,v5,13625
88,e,v6,4449
88,e,v1,2943
88,e,v3,4677
88,f,v4,7145
88,f,v6,10405
88,f,v5,3367
88,g,v4,6712
88,g,v3,13667
88,h,v3,13257
88,h,v1,3460
88,h,v4,14255
88,h,v5,802
88,h,v6,6239
88,i,v1,10025
88,i,v5,2138
88,i,v4,6194
88,i,v6,3516
88,j,v2,9705
88,j,v4,1126
88,j,v1,4313
88,j,v6,3994
88,j,v3,1850
88,j,v5,4520
88,k,v4,12051
88,k,v5,2023
88,k,v1,8070
88,k,v3,1616
88,k,v6,3866
89,a,v5,12296
89,a,v1,1192
89,a,v6,2408
89,a,v3,8289
89,a,v4,6478
89,b,v1,7288
89,b,v6,7970
89,b,v7,9209
89,b,v4,6646
89,b,v3,3421
89,b,v5,256
89,c,v1,2140
89,c,v4,10842
89,c,v5,9584
89,c,v6,8655
89,c,v3,5654
89,d,v6,602
89,d,v3,2877
89,d,v4,11822
89,e,v1,14411
89,e,v6,2162
89,e,v5,4879
89,e,v4,9946
89,f,v5,11461
89,f,v4,11591
89,f,v8,4514
89,f,v6,1690
89,g,v4,12465
89,g,v5,6438
89,g,v1,2587
89,g,v6,11136
89,h,v1,12202
89,h,v6,13624
89,h,v5,5283
89,h,v4,6593
89,h,v3,628
89,i,v5,3326
89,i,v6,9967
89,i,v4,1633
89,i,v3,9183
89,i,v1,4728
89,j,v6,11858
89,j,v2,6567
89,j,v1,4460
89,j,v3,3400
89,j,v5,9287
89,j,v4,7034
89,k,v5,14487
89,k,v3,13344
89,k,v1,14297
89,k,v6,4665
89,k,v4,9110
90,a,v1,1837
90,a,v3,5903
90,a,v6,4850
90,a,v5,11128
90,a,v4,10126
90,b,v6,9008
90,b,v5,9847
90,b,v4,12114
90,b,v3,6558
90,c,v3,1525
90,c,v5,5865
90,c,v6,13481
90,c,v1,2208
90,c,v4,10833
90,d,v4,3963
90,d,v5,13249
90,d,v6,1002
90,e,v5,8888
90,e,v6,13672
90,e,v3,6667
90,e,v1,5266
90,e,v4,2297
90,f,v6,1800
90,f,v4,4623
90,f,v5,773
90,g,v3,12135
90,g,v9,4968
90,g,v5,6425
90,g,v4,8247
90,h,v7,2342
90,h,v4,10953
90,h,v6,13931
90,h,v3,8067
90,h,v5,2841
90,h,v1,1368
90,i,v5,8276
90,i,v6,10097
90,i,v4,11397
90,i,v1,3959
90,j,v3,10849
90,j,v5,5756
90,j,v1,453
90,j,v4,14142
90,j,v2,12999
90,j,v6,6779
90,k,v3,13906
90,k,v4,10929
90,k,v9,1603
90,k,v1,12918
90,k,v5,5192
90,k,v6,8358
91,a,v6,7460
91,a,v1,10904
91,a,v4,11775
91,a,v5,13944
91,a,v3,99
91,b,v3,9449
91,b,v7,1353
91,b,v5,9827
91,b,v1,8029
91,b,v6,7546
91,b,v4,293
91,c,v5,7346
91,c,v2,414
91,c,v1,3071
91,c,v6,5826
91,c,v3,4126
91,c,v4,6978
91,d,v4,9194
91,d,v6,11931
91,d,v3,3743
91,d,v5,2348
91,e,v3,5383
91,e,v4,8791
91,e,v5,5402
91,e,v6,3787
91,e,v1,3266
91,f,v6,2260
91,f,v4,8900
91,g,v6,12300
91,g,v3,9267
91,g,v1,12084
91,g,v4,4711
91,g,v5,14736
91,h,v5,2773
91,h,v1,8428
91,h,v3,6884
91,h,v4,6612
91,h,v6,2923
91,i,v3,9707
91,i,v4,10119
91,i,v1,5141
91,i,v6,7162
91,i,v5,1933
91,j,v2,6779
91,j,v4,3072
91,j,v3,14238
91,j,v1,658
91,j,v6,3065
91,j,v5,4779
91,k,v3,14956
91,k,v4,155
91,k,v5,1195
91,k,v6,14349
91,k,v9,5464
91,k,v7,3710
91,k,v1,6437
92,a,v1,6503
92,a,v6,7576
92,a,v4,10181
92,a,v5,7014
92,a,v3,4507
92,b,v3,12755
92,b,v6,10177
92,b,v1,2149
92,b,v4,10100
92,b,v5,12597
92,b,v7,12613
92,c,v6,2524
92,c,v2,5046
92,c,v5,14959
92,c,v1,5645
92,c,v4,2489
92,c,v3,5250
92,d,v5,3844
92,d,v1,11267
92,d,v6,7932
92,d,v4,6780
92,d,v3,5288
92,e,v6,2231
92,e,v4,4698
92,e,v5,9511
92,e,v1,2335
92,f,v4,14546
92,f,v6,11910
92,g,v6,9464
92,g,v4,13011
92,g,v5,14948
92,g,v1,1619
92,g,v3,381
92,h,v1,8449
92,h,v3,9696
92,h,v4,6713
92,h,v5,7339
92,h,v6,12080
92,i,v1,6633
92,i,v6,13850
92,i,v4,7275
92,i,v7,1809
92,i,v5,1074
92,j,v1,10754
92,j,v6,645
92,j,v3,8258
92,j,v5,2257
92,j,v4,1921
92,j,v2,3328
92,k,v4,14283
92,k,v3,2625
92,k,v1,5446
92,k,v5,834
92,k,v9,11345
92,k,v6,3932
93,a,v3,13612
93,a,v1,5934
93,a,v5,1104
93,a,v6,657
93,a,v4,10710
93,b,v5,1572
93,b,v1,318
93,b,v6,4918
93,b,v4,12652
93,b,v3,6042
93,c,v5,10616
93,c,v1,2782
93,c,v3,301
93,c,v4,1568
93,c,v6,14344
93,c,v2,3338
93,d,v3,3713
93,d,v4,314
93,e,v1,13816
93,e,v5,5644
93,e,v4,14338
93,e,v3,10711
93,e,v6,2985
93,f,v5,570
93,f,v4,356
93,f,v6,11949
93,g,v3,343
93,g,v5,13123
93,g,v4,11893
93,g,v6,1576
93,h,v6,414
93,h,v5,10268
93,h,v1,7405
93,h,v4,14637
93,h,v3,6784
93,i,v4,5606
93,i,v5,438
93,i,v6,14491
93,i,v1,8617
93,j,v4,9760
93,j,v3,2358
93,j,v2,6602
93,j,v6,10444
93,j,v1,8025
93,j,v5,5724
93,k,v1,5093
93,k,v3,8652
93,k,v7,1088
93,k,v6,7183
93,k,v5,13617
93,k,v4,4331
94,a,v4,10088
94,a,v6,868
94,a,v3,10705
94,a,v5,1426
94,b,v6,7097
94,b,v5,4603
94,b,v3,4434
94,b,v4,9215
94,c,v4,587
94,c,v5,12492
94,c,v1,13795
94,c,v2,13596
94,c,v6,5167
94,c,v3,9086
94,d,v5,14016
94,d,v6,9703
94,d,v4,357
94,e,v4,9663
94,e,v3,8163
94,e,v1,12726
94,e,v6,6440
94,f,v6,3289
94,f,v4,3975
94,f,v5,10053
94,g,v3,11807
94,g,v6,4212
94,g,v4,5444
94,g,v5,8496
94,h,v6,381
94,h,v1,2631
94,h,v3,10429
94,h,v4,992
94,h,v5,14055
94,i,v4,6577
94,i,v5,1360
94,i,v1,12283
94,j,v6,2003
94,j,v5,9746
94,j,v4,9228
94,j,v2,7526
94,j,v3,3266
94,j,v1,13926
94,k,v1,11872
94,k,v5,12819
94,k,v6,8243
94,k,v3,7455
94,k,v4,3887
95,a,v4,13966
95,a,v6,9510
95,a,v5,5654
95,a,v3,5096
95,a,v1,2562
95,b,v5,2207
95,b,v3,5399
95,b,v6,13195
95,b,v4,4688
95,c,v2,14492
95,c,v5,1208
95,c,v4,8242
95,c,v3,2534
95,c,v1,236
95,c,v6,4678
95,d,v3,3216
95,d,v4,13500
95,d,v1,14374
95,d,v6,818
95,d,v5,6891
95,e,v4,10514
95,e,v6,9283
95,e,v1,10075
95,e,v5,5807
95,f,v4,3324
95,f,v6,2346
95,f,v5,14434
95,g,v4,8833
95,g,v5,1093
95,g,v3,3869
95,h,v4,1370
95,h,v1,14422
95,h,v3,5957
95,h,v5,1444
95,i,v5,7628
95,i,v1,3395
95,i,v4,4299
95,j,v2,12922
95,j,v4,2706
95,j,v1,11664
95,j,v6,11526
95,j,v3,7537
95,j,v5,10122
95,k,v4,14195
95,k,v6,6364
95,k,v5,10742
95,k,v1,9968
95,k,v3,13542
95,k,v2,7735
96,a,v1,14672
96,a,v4,413
96,a,v3,11417
96,a,v5,1586
96,a,v6,14323
96,a,v7,1937
96,b,v5,11246
96,b,v4,11767
96,b,v6,12560
96,b,v3,12782
96,c,v6,2228
96,c,v4,7488
96,c,v3,2379
96,c,v5,13303
96,c,v1,13335
96,d,v3,1431
96,d,v6,9025
96,d,v4,3633
96,d,v5,5881
96,e,v6,7035
96,e,v5,14646
96,e,v1,14218
96,e,v4,8359
96,f,v4,7092
96,f,v6,1129
96,g,v1,4204
96,g,v3,18
96,g,v4,3319
96,g,v5,11889
96,h,v4,11602
96,h,v3,859
96,h,v6,13801
96,h,v5,524
96,h,v1,420
96,i,v6,8140
96,i,v1,2719
96,i,v5,4976
96,i,v4,4342
96,j,v1,482
96,j,v4,8363
96,j,v5,14243
96,j,v6,2090
96,j,v2,14360
96,j,v3,4150
96,k,v1,11664
96,k,v3,9077
96,k,v6,10774
96,k,v4,124
96,k,v9,1072
96,k,v5,13648
97,a,v3,8338
97,a,v4,5489
97,a,v1,4113
97,a,v6,1680
97,a,v5,14882
97,a,v2,13377
97,b,v4,9569
97,b,v3,3897
97,b,v5,1790
97,b,v6,13299
97,c,v1,12825
97,c,v5,4462
97,c,v4,1643
97,c,v6,10353
97,c,v3,11578
97,d,v3,8103
97,d,v4,3301
97,d,v6,5808
97,d,v5,6290
97,e,v1,5646
97,e,v6,8131
97,e,v3,3178
97,e,v4,4796
97,e,v5,8276
97,f,v4,8498
97,f,v5,9767
97,f,v6,4880
97,f,v8,5957
97,g,v5,5541
97,g,v6,3824
97,g,v4,3730
97,g,v3,6617
97,h,v5,10122
97,h,v3,2319
97,h,v4,8813
97,h,v6,9411
97,h,v1,3500
97,i,v6,11275
97,i,v7,11865
97,i,v4,6451
97,i,v5,9801
97,i,v1,14067
97,j,v3,9540
97,j,v6,1350
97,j,v2,7583
97,j,v1,833
97,j,v4,2684
97,j,v5,3659
97,k,v4,656
97,k,v6,10214
97,k,v5,2875
97,k,v1,13608
97,k,v3,2189
98,a,v1,5878
98,a,v5,3014
98,a,v2,2197
98,a,v3,8142
98,a,v6,14258
98,a,v4,2300
98,b,v5,3109
98,b,v3,13325
98,b,v1,14166
98,b,v4,6604
98,b,v6,114
98,c,v3,7493
98,c,v4,5307
98,c,v5,14373
98,c,v1,2566
98,c,v6,12720
98,d,v6,9575
98,d,v4,11379
98,d,v5,3699
98,d,v3,14310
98,e,v4,6943
98,e,v6,5542
98,e,v1,9111
98,e,v3,14792
98,e,v5,2175
98,f,v4,5562
98,f,v6,7578
98,g,v5,791
98,g,v1,3717
98,g,v4,1217
98,g,v6,3600
98,h,v1,1061
98,h,v6,14035
98,h,v5,14779
98,h,v3,13920
98,h,v4,3964
98,h,v7,6773
98,i,v1,9612
98,i,v5,10499
98,i,v6,281
98,i,v4,7651
98,j,v1,11228
98,j,v3,12106
98,j,v5,5886
98,j,v6,13098
98,j,v4,11355
98,j,v2,13550
98,k,v5,4684
98,k,v1,12279
98,k,v6,4485
98,k,v7,8468
98,k,v4,10454
98,k,v3,12124
99,a,v6,13457
99,a,v1,8778
99,a,v5,12486
99,a,v4,9177
99,a,v3,11737
99,b,v4,5
99,b,v7,1951
99,b,v3,7803
99,b,v9,2147
99,b,v6,5613
99,b,v5,4293
99,c,v3,11557
99,c,v5,11594
99,c,v1,9432
99,c,v6,12579
99,c,v4,8033
99,d,v1,5746
99,d,v3,11186
99,d,v4,13307
99,d,v5,1976
99,e,v4,9342
99,e,v6,5562
99,e,v3,13674
99,e,v1,11384
99,e,v5,6250
99,f,v5,8072
99,f,v4,1546
99,g,v4,1051
99,g,v5,2550
99,g,v3,5699
99,g,v1,5435
99,g,v9,13141
99,h,v5,8949
99,h,v7,13802
99,h,v1,14560
99,h,v3,3630
99,h,v6,7929
99,h,v4,13213
99,i,v4,12746
99,i,v5,9441
99,i,v6,5933
99,i,v1,7481
99,j,v2,13702
99,j,v4,9588
99,j,v3,11304
99,j,v6,14075
99,j,v5,5300
99,j,v1,13023
99,k,v6,7346
99,k,v1,6928
99,k,v2,4461
99,k,v5,2835
99,k,v4,7835
99,k,v3,2058
100,a,v1,3722
100,a,v5,1532
100,a,v6,14448
100,a,v3,5772
100,a,v4,14187
100,b,v3,2867
100,b,v6,8252
100,b,v5,11000
100,b,v4,2945
100,b,v1,3137
100,c,v4,12227
100,c,v5,13331
100,c,v6,7926
100,c,v1,7446
100,c,v3,1442
100,d,v1,7885
100,d,v4,14441
100,d,v3,11679
100,d,v5,14690
100,d,v6,4211
100,e,v3,12108
100,e,v4,11704
100,e,v5,5449
100,e,v6,5482
100,e,v1,4828
100,f,v6,11378
100,f,v4,10811
100,f,v5,6953
100,g,v4,1975
100,g,v3,12999
100,g,v5,4842
100,h,v5,14805
100,h,v3,2919
100,h,v6,3861
100,h,v1,7264
100,h,v4,3623
100,i,v4,2758
100,i,v1,6867
100,i,v6,58
100,i,v5,14845
100,j,v6,331
100,j,v3,6398
100,j,v5,13002
100,j,v2,9617
100,j,v1,7315
100,j,v4,13263
100,k,v1,14218
100,k,v4,8518
100,k,v3,12142
100,k,v5,3569
